area,rooms,bathroom,parkingSpaces,floor,animal,furniture,hoa,rentAmount,propertyTax,fireInsurance,total
70,2,1,1,7,1,1,2065,3300,211,42,5618
320,4,4,0,20,1,0,1200,4960,1750,63,7973
80,1,1,1,6,1,0,1000,2800,0,41,3841
51,2,1,0,2,1,0,270,1112,22,17,1421
25,1,1,0,1,0,0,0,800,25,11,836
376,3,3,7,0,1,0,0,8000,834,121,8955
72,2,1,0,7,1,0,740,1900,85,25,2750
213,4,4,4,4,1,0,2254,3223,1735,41,7253
152,2,2,1,3,1,1,1000,15000,250,191,16440
35,1,1,0,2,1,1,590,2300,35,30,2955
26,1,1,0,2,1,1,470,2100,150,27,2747
46,1,1,1,10,1,0,550,580,43,8,1181
36,1,1,0,11,1,0,359,2100,70,27,2556
55,1,1,1,2,1,1,790,4200,224,54,5268
100,2,2,2,24,1,1,900,4370,17,56,5343
330,4,6,6,0,1,1,680,8000,328,121,9129
110,2,2,1,1,1,0,700,3000,122,39,3861
88,2,3,1,9,0,1,1614,3500,221,16,5351
56,2,1,0,8,1,0,800,1220,0,16,2036
600,4,5,6,0,1,0,0,12000,9500,181,21680
100,7,4,0,0,1,0,0,3800,118,58,3976
42,1,1,1,17,0,1,470,2690,172,36,3368
160,3,2,2,18,1,1,1530,1900,167,25,3622
35,1,1,0,0,1,0,0,1100,3,14,1117
90,3,2,1,7,1,0,800,1800,118,24,2742
49,1,1,1,10,1,0,480,3500,42,45,4067
41,1,1,1,5,0,1,600,3000,0,39,3639
64,2,2,1,11,1,0,352,1500,80,20,1952
208,3,2,4,0,1,0,0,3180,100,48,3328
20,1,1,0,5,1,1,602,1800,130,23,2555
55,2,2,2,6,1,0,780,1068,142,14,2004
32,1,1,0,3,1,0,515,1700,29,22,2266
80,2,2,1,11,1,0,1208,2550,216,33,4007
45,1,1,1,10,1,1,2450,2500,593,33,5576
350,4,4,3,8,1,0,2100,4000,500,51,6651
38,1,1,2,11,0,0,450,1750,0,26,2226
30,1,1,0,1,1,0,460,1600,0,21,2081
80,3,2,1,0,1,0,0,11000,425,181,11610
70,2,1,0,0,0,0,0,1150,59,18,1227
40,1,1,1,6,1,1,390,2990,0,44,3424
300,4,6,4,20,1,0,3700,12000,1584,153,17440
240,3,2,3,0,1,0,0,3500,292,53,3845
200,4,2,1,7,0,0,850,2550,9,34,3443
45,1,1,1,5,1,0,500,1631,192,12,2335
360,4,5,0,1,1,0,4000,6410,2000,82,12490
40,1,1,1,10,1,1,978,2829,0,33,3840
100,3,1,0,13,0,0,700,1220,10,17,1947
42,1,1,2,2,1,1,190,1770,17,26,2003
250,3,3,2,1,1,0,2200,1700,256,22,4178
48,1,1,1,2,1,1,505,1600,59,21,2185
