average_rating,num_pages,ratings_count,text_reviews_count,publication_date
4.57,652,2095690,27591,1158354000.0
4.49,870,2153167,29221,1093986000.0
4.42,352,6333,244,1067637600.0
4.56,435,2339585,36325,1083358800.0
4.78,2690,41428,164,1095022800.0
3.74,152,19,1,1114462800.0
4.73,3342,28242,808,1126472400.0
4.38,815,3628,254,1130796000.0
4.38,815,249558,4080,1020114000.0
4.22,215,4930,460,1091480400.0
4.22,6,1266,253,1111528800.0
4.38,815,2877,195,821829600.0
4.21,544,248558,9396,1095109200.0
3.44,55,7270,499,1038866400.0
3.87,256,2088,131,1095109200.0
4.07,335,72451,4245,989874000.0
3.90,304,49240,2211,962139600.0
3.83,299,45712,2257,651790800.0
3.86,254,48701,2238,733266000.0
3.91,324,80609,3301,864766800.0
3.93,270,28489,2085,686005200.0
4.59,1728,101233,1550,1348520400.0
4.50,1184,1710,91,1098306000.0
4.36,398,2128944,13670,1062709200.0
4.50,1216,1618,140,1033419600.0
4.53,218,19822,46,1067983200.0
4.50,224,359,6,1100469600.0
3.84,558,1430,59,1122498000.0
3.72,208,270244,12017,954536400.0
4.00,48,36,2,778021200.0
3.88,144,2067,334,980200800.0
4.33,56,6,0,1055192400.0
3.45,228,99,16,1130796000.0
3.76,304,167,4,1130796000.0
3.60,256,978,111,1155762000.0
4.06,137,4454,302,1050267600.0
4.17,228,1176,96,1086642000.0
3.55,339,301,43,1113253200.0
3.98,369,345,12,651790800.0
3.83,388,29686,2626,1156798800.0
3.83,14,55,12,1087246800.0
3.83,576,22,3,1087246800.0
3.83,334,1456,82,1147640400.0
4.13,352,52,4,1134511200.0
4.42,416,562,37,391726800.0
3.95,248,1630,203,1147726800.0
4.17,128,268,22,512686800.0
4.24,288,3498,305,652136400.0
4.34,720,3115,228,915573600.0
4.22,448,5704,261,670453200.0
3.92,160,698,52,765147600.0
4.23,288,542,36,765147600.0
4.23,208,1341,98,562716000.0
3.75,81,1423,70,1014933600.0
3.84,249,2766,64,678402000.0
3.94,138,31,1,1143583200.0
3.77,128,62,4,1142287200.0
4.46,192,860,53,1062363600.0
3.68,108,77,2,854402400.0
3.99,352,153317,2257,1037311200.0
3.25,192,55,5,1100469600.0
4.46,192,34,6,1051477200.0
3.89,832,11797,659,1066251600.0
3.82,123,34,8,1084136400.0
3.78,128,78,4,1092862800.0
3.84,423,2785,166,550702800.0
3.91,436,38778,568,552085200.0
3.88,331,97494,2359,553294800.0
4.01,592,784,21,1088629200.0
3.86,480,272,20,450910800.0
3.88,426,4789,83,1156798800.0
3.86,471,45388,644,555973200.0
4.59,192,26153,102,1023829200.0
4.35,544,69167,4551,843944400.0
4.35,291,45,13,1126558800.0
4.28,256,16,1,1099260000.0
3.34,205,174,16,1147986000.0
3.67,240,10,0,949874400.0
3.48,336,76,9,1115067600.0
3.50,386,111,9,1162159200.0
3.62,260,24,0,1138053600.0
3.55,384,55,4,1095368400.0
4.27,260,9,0,1149541200.0
3.39,391,22,1,1085950800.0
3.89,864,17,3,1114376400.0
3.84,873,166,4,1154120400.0
4.12,240,50,5,1115067600.0
4.08,206,13,2,1115067600.0
3.48,514,64,1,1167602400.0
4.05,838,16643,1851,1085950800.0
4.05,960,109420,5696,1036447200.0
4.05,837,2904,309,1043877600.0
3.85,80,16,3,-129340800.0
4.05,803,9564,726,1057006800.0
4.05,752,474,72,1101160800.0
4.05,803,303,48,1093467600.0
2.99,360,411,65,1138399200.0
4.19,128,1204,33,564876000.0
3.71,160,3429,279,646952400.0
3.95,367,2163,216,899154000.0
3.89,256,613,31,823125600.0
3.82,320,308,40,1127768400.0
4.20,100,10,0,791244000.0
3.65,224,16,4,977263200.0
3.40,216,10,0,1064178000.0
4.00,48,17,0,686005200.0
4.01,360,1035,23,780958800.0
4.00,250,36,6,1020200400.0
3.60,32,15,0,1009836000.0
4.00,205,6,1,454885200.0
4.12,367,376,17,770418000.0
4.11,352,3086,237,1136239200.0
3.94,320,352,44,1130796000.0
3.60,331,9852,633,1141682400.0
3.90,244,821,78,1092085200.0
4.05,215,731,72,1110232800.0
3.94,191,2897,178,1092085200.0
3.89,144,98,11,654901200.0
3.42,738,20888,1688,1125349200.0
3.91,48,66,19,1001883600.0
4.02,287,81,6,844290000.0
4.22,217,981,52,-186710400.0
3.69,154,3381,141,758412000.0
3.68,318,53206,2376,757807200.0
3.78,348,14872,459,758412000.0
4.10,316,3261,58,758412000.0
3.98,506,7805,251,758325600.0
3.83,292,2699,142,1375200.0
3.78,797,61640,1951,1064869200.0
3.78,635,392,41,1074204000.0
3.75,91,778,44,925938000.0
3.85,192,963,65,775688400.0
3.66,181,2057,128,510962400.0
3.68,178,203,8,930776400.0
4.21,464,35,2,891378000.0
4.19,102,328,16,883605600.0
3.98,216,1308,82,793317600.0
3.92,132,6432,517,1046642400.0
4.08,100,3015,217,1307998800.0
3.83,311,318753,6734,1000501200.0
3.83,213,420,42,1096578000.0
3.83,245,5967,276,1117573200.0
3.83,64,104,14,1057006800.0
3.83,272,56,4,1031000400.0
4.05,232,91,16,1138658400.0
4.61,270,88,4,848613600.0
4.07,448,63,7,631144800.0
4.04,64,2815,164,-451440000.0
3.60,256,95,13,1118091600.0
3.44,147,217,24,1108418400.0
4.02,239,4136,255,1022878800.0
4.01,304,17232,649,866494800.0
3.92,528,251872,6241,686264400.0
3.87,434,10293,193,581115600.0
3.78,439,15970,438,497912400.0
3.97,256,6898,200,1154984400.0
4.06,307,67803,1401,666568800.0
3.93,298,22091,746,1114462800.0
4.14,368,2623,49,1135634400.0
3.60,256,885,84,909439200.0
3.93,336,5,0,1057006800.0
4.13,72,100,13,1294783200.0
